date	log_real_money	log_real_income	log_prices	bond_rate	deposit_rate
1974:01	11.632550227181	5.9036584908080	-0.618735935531	0.1547356000000	0.0940000000000
1974:02	11.604152475222	5.8738200018614	-0.580747867524	0.1779912000000	0.0955000000000
1974:03	11.581520667221	5.8378176153783	-0.542847845786	0.1705647000000	0.0955000000000
1974:04	11.601847408836	5.8122547437834	-0.504604068384	0.1522273000000	0.0955000000000
1975:01	11.586304900325	5.8039454062456	-0.486458455868	0.1342276000000	0.0885000000000
1975:02	11.604498566736	5.7867611757721	-0.454438596255	0.1334805000000	0.0790000000000
1975:03	11.653307074012	5.8334123914118	-0.440514201885	0.1284132000000	0.0760000000000
1975:04	11.764246393214	5.9298486841744	-0.438759554938	0.1288357000000	0.0740000000000
1976:01	11.752933753793	5.9376541400803	-0.403904637114	0.1413445000000	0.0720000000000
1976:02	11.765479787199	5.9353324593564	-0.373344374431	0.1531187000000	0.0780000000000
1976:03	11.780582975932	5.9317546162092	-0.357669749673	0.1605787000000	0.0800000000000
1976:04	11.770178222712	5.9405243482696	-0.324953607106	0.1618325000000	0.1030000000000
1977:01	11.745892134806	5.9280435346582	-0.309815317288	0.1665814000000	0.0970000000000
1977:02	11.768651409665	5.9371802050465	-0.288414439318	0.1630213000000	0.0880000000000
1977:03	11.749824572500	5.9565534342727	-0.264239472325	0.1692466000000	0.0950000000000
1977:04	11.748696539886	5.9396018801323	-0.228864977002	0.1728896000000	0.0970000000000
1978:01	11.704915808635	5.9324077736996	-0.212193050982	0.1717371000000	0.0990000000000
1978:02	11.703444160239	5.9312375181160	-0.197211039130	0.1757075000000	0.0880000000000
1978:03	11.703001137426	5.9721356925638	-0.185326965433	0.1711933000000	0.0810000000000
1978:04	11.703673006823	5.9687290431306	-0.162762793318	0.1820041000000	0.0770000000000
1979:01	11.678903049720	5.9624728190495	-0.138595908009	0.1700434000000	0.0750000000000
1979:02	11.707781603406	5.9864864268026	-0.120611747016	0.1689293000000	0.0770000000000
1979:03	11.676155061588	5.9847883105537	-0.087185642544	0.1782750000000	0.0860000000000
1979:04	11.685920738856	5.9770438163905	-0.059363063218	0.1804463000000	0.1010000000000
1980:01	11.641606365398	5.9851010932135	-0.035864737190	0.1910667000000	0.1090000000000
1980:02	11.635179761407	5.9451983325962	-0.009390004658	0.1967000000000	0.1210000000000
1980:03	11.609260977069	5.9016251751073	 0.014105078102	0.1923000000000	0.1210000000000
1980:04	11.657612646716	5.9024398720660	 0.033274886271	0.1829667000000	0.1070000000000
1981:01	11.627818408327	5.8974216889123	 0.062005602123	0.1845333000000	0.1050000000000
1981:02	11.628852315089	5.8938657754740	 0.103995518753	0.1928667000000	0.1090000000000
1981:03	11.603777611179	5.8834510710161	 0.125532615861	0.2032333000000	0.1110000000000
1981:04	11.629064846779	5.8946873667844	 0.150714787931	0.1923333000000	0.1090000000000
1982:01	11.602023333716	5.9023360214490	 0.174404209705	0.2032667000000	0.1070000000000
1982:02	11.603775319602	5.9243881415978	 0.197886661699	0.2107667000000	0.1110000000000
1982:03	11.594622350423	5.9499066047612	 0.220124750553	0.2088667000000	0.1110000000000
1982:04	11.603820174121	5.9286679745633	 0.245491809512	0.1970667000000	0.1100000000000
1983:01	11.617125644557	5.9158901541308	 0.258962672287	0.1611000000000	0.1060000000000
1983:02	11.688095894222	5.9386698630409	 0.269752543375	0.1383000000000	0.0870000000000
1983:03	11.726514915869	5.9321855039694	 0.284460915664	0.1417000000000	0.0830000000000
1983:04	11.781250427813	5.9743089782593	 0.300511045067	0.1338000000000	0.0850000000000
1984:01	11.797620190952	5.9639157908698	 0.316073973144	0.1341000000000	0.0850000000000
1984:02	11.841912041657	6.0009935020661	 0.331141421416	0.1417000000000	0.0830000000000
1984:03	11.840295385398	5.9905376176416	 0.343332244801	0.1448000000000	0.0850000000000
1984:04	11.923577529156	5.9687021891270	 0.355987184612	0.1412000000000	0.0916472500000
1985:01	11.902962223643	6.0137997490417	 0.370684954674	0.1317000000000	0.0902645900000
1985:02	11.926783663040	6.0033180163390	 0.382693586599	0.1196000000000	0.0876351900000
1985:03	11.970998103690	6.0445170431924	 0.386468568445	0.1070000000000	0.0800425900000
1985:04	12.025902608865	6.0812913113397	 0.392689350101	0.1037000000000	0.0755835500000
1986:01	12.051150779150	6.0955702508185	 0.397668024988	0.0977000000000	0.0723791300000
1986:02	12.075460375412	6.0896582927102	 0.413027999697	0.0984000000000	0.0674583300000
1986:03	12.056189308163	6.0989916140976	 0.418267904927	0.1115000000000	0.0679407900000
1986:04	12.071627946757	6.0807058941984	 0.428296449558	0.1142670000000	0.0753957000000
1987:01	12.027952215753	6.0611745946960	 0.446761110120	0.1193333000000	0.0766532600000
1987:02	12.039788344549	6.0637298583186	 0.458330586387	0.1173333000000	0.0762586700000
1987:03	12.015294100847	6.0508300235924	 0.468334520836	0.1189667000000	0.0751628900000
